STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,URBANIZATION,HH_MAC,IC_QUINTILE,FINANCIAL_HARDSHIP,INDEX_COMP,SPEND_LEVEL,UNIT_MEASURE,OBS_CONF,UNIT_TYPE,DATABASE_ID,DECIMALS,UNIT_MULT,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANIZATION_LABEL,HH_MAC_LABEL,IC_QUINTILE_LABEL,FINANCIAL_HARDSHIP_LABEL,INDEX_COMP_LABEL,SPEND_LEVEL_LABEL,UNIT_MEASURE_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,DECIMALS_LABEL,UNIT_MULT_LABEL,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,FSM,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,"Micronesia, Fed. Sts.",Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SUR,UHC_FH40,_T,_T,IC_Q4,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Suriname,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 4,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,0.38,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LKA,UHC_FH40,_T,SO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Sri Lanka,Population facing financial hardship due to out-of-pocket health expenditure,Total,Older adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.77,,,11.69,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LVA,UHC_FH40,_T,AO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Latvia,Population facing financial hardship due to out-of-pocket health expenditure,Total,Adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,5.65,,6.42,5.16,6.81,4.55,3.42,6.34,4.36,7.22,4.41,5.75,8.3,8.56,7.91,,,7.47,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GEO,UHC_FH40,_T,ACA,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Georgia,Population facing financial hardship due to out-of-pocket health expenditure,Total,"Adults, children, and adolescents",All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,20.2,20.54,21.09,23.57,23.92,16.09,15.09,14.8,17.63,20.53,20.25,,,,25.99,23.84,25.74,26.07,25.27,25.82,28.69,25.12,23.85,20.31,22.35,23.06,21.33,19.9
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SWZ,UHC_FH40,_T,MG,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Eswatini,Population facing financial hardship due to out-of-pocket health expenditure,Total,Multigenerational,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,58.44,,,,,,,,,,,,,,,,33.88,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MWI,UHC_FH40,_T,ACA,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Malawi,Population facing financial hardship due to out-of-pocket health expenditure,Total,"Adults, children, and adolescents",All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.88,,,43.74,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,JAM,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Jamaica,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,3.85,7.87,8.83,,3.87,3.05,3.57,,,,,,7.24,3.67,3.54,,,,0.59,2.37,2.15,,0.52,0,0,0.5,0.24,0.13,0.45,0.62,,3.12,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SVN,UHC_FH40,_T,_T,_T,PUSHED,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Slovenia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,0.51,0.52,0.67,0.63,0.5,0.66,0.44,0.59,0.58,0.62,0.57,,0.4,,,0.5,,,0.6,,,,0.47,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,JAM,UHC_FH40,_T,_T,IC_Q1,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Jamaica,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 1 (poorest),All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,26.58,67.98,53.41,,59.28,72.08,63.84,,,,,,59.46,74.82,78.09,,,,69.25,69.79,62.39,,65.21,65.31,79.37,79.74,71.09,72.98,66.29,75.52,,74.36,,,
