STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,URBANIZATION,HH_MAC,IC_QUINTILE,FINANCIAL_HARDSHIP,INDEX_COMP,SPEND_LEVEL,UNIT_MEASURE,OBS_CONF,UNIT_TYPE,DATABASE_ID,DECIMALS,UNIT_MULT,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANIZATION_LABEL,HH_MAC_LABEL,IC_QUINTILE_LABEL,FINANCIAL_HARDSHIP_LABEL,INDEX_COMP_LABEL,SPEND_LEVEL_LABEL,UNIT_MEASURE_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,DECIMALS_LABEL,UNIT_MULT_LABEL,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SSF,UHC_FH40,_T,_T,_T,LARGE,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Sub-Saharan Africa,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,1: Facing large (but non-impoverishing) out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,5.52,4.31,5,5.01,4.98,5.03,4.28,4.86,4.6,4.26,3.15,3.15,3.34,3.13,3.2,3.06,2.96,3.01,2.8,2.8,2.83,3.19,3.12,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,RUS,UHC_FH40,_T,_T,IC_Q2,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Russian Federation,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 2,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,12.89,17.12,27.03,21.71,14.18,14.17,21.62,20.62,,,,,,4.4,3.8,,4.3,3,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MWI,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Malawi,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,76.2,,,,,,53.95,,,67.54,,,62.28,,,64.97,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CZE,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Czechia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,4.24,3.87,3.72,4.06,3.83,3.97,3.99,5.36,4.06,4.53,4.93,5.4,6.85,5.4,5.63,4.86,6.22,,,5.06,6.15,,8.24,7.87,7.24,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SWE,UHC_FH40,_T,_T,_T,LARGE,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Sweden,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,1: Facing large (but non-impoverishing) out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,KHM,UHC_FH40,_T,_T,_T,FURTHER,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Cambodia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,18.6,16.99,14.27,,,9.36,,,,,9.64,,9.51,,10.89,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,JOR,UHC_FH40,_T,_T,_T,LARGE,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Jordan,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,1: Facing large (but non-impoverishing) out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,1.38,,,,,,1.23,,1.26,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LBR,UHC_FH40,_T,_T,_T,PUSHED,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Liberia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,6.67,,3.77,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TKL,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Tokelau (NZ),Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NOR,UHC_FH40,_T,_T,_T,LARGE,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Norway,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,1: Facing large (but non-impoverishing) out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,2.39,1.67,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,AGO,UHC_FH40,_T,_T,IC_Q2,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Angola,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 2,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,23.41,,,,,,,,,,71.74,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,VNM,UHC_FH40,_T,SO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Vietnam,Population facing financial hardship due to out-of-pocket health expenditure,Total,Older adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,73.99,,,,,50.43,,,,,,,56.45,,60.05,,,,43.98,,44.34,,,,26.48,,25.59,,22.51,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ALB,UHC_FH40,_T,ACA,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Albania,Population facing financial hardship due to out-of-pocket health expenditure,Total,"Adults, children, and adolescents",All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,29.42,,,25.42,,,18.45,,,,16.14,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NGA,UHC_FH40,_T,AO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Nigeria,Population facing financial hardship due to out-of-pocket health expenditure,Total,Adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,12.02,,,,,,,7.69,,,,,,,,7.79,,,,6.47,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GNB,UHC_FH40,_T,MG,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Guinea-Bissau,Population facing financial hardship due to out-of-pocket health expenditure,Total,Multigenerational,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,48.65,,,,,,,,53.28,,,,,,,,46.36,,,46.73,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,HTI,UHC_FH40,_T,AS,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Haiti,Population facing financial hardship due to out-of-pocket health expenditure,Total,Adults and older people,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CZE,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Czechia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,0,0,0,0,0,0.23,0,0.25,0,0.13,0.41,0.13,0.26,0.66,0.26,0.27,0,,,1.83,2.03,,2.13,3.57,1.22,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,PAN,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Panama,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,27.55,,,,,,24.49,,,,16.94,,,,,,,,,,18.01,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,IDN,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Indonesia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,30.81,29.04,47.53,43.15,,41.8,39.19,37.81,38.04,,32.67,31.77,30.59,29.14,30.15,31.41,32.96,32.03,30.74,28.43,25.91,28.39,27.63,26.12,25.24,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LTU,UHC_FH40,_T,_T,IC_Q1,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Lithuania,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 1 (poorest),All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,44.32,44.05,48.08,49.94,50.47,41.36,39.19,,,,36.67,,,,,,,,37.71,,,,,19.85,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SYR,UHC_FH40,_T,_T,_T,PUSHED,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Syrian Arab Republic,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,1.91,,,,1.51,,,,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,WLD,UHC_FH40,_T,_T,IC_Q4,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,World,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 4,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,10.1,10.25,10.62,10.18,9.61,9.39,8.63,7.16,7.71,7.99,6.65,6.58,6.17,6.17,6.14,6.05,6.24,6.13,5.83,5.59,5.66,5.68,5.45,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CIV,UHC_FH40,_T,_T,_T,FURTHER,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Côte d’Ivoire,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,18.8,16.34,15.74,19.57,,,17.23,,,,,,28.89,,,,28.69,,,,,,23.55,,,,,,,15.72,,,22.56,,,21.72,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,BIH,UHC_FH40,RUR,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Bosnia and Herzegovina,Population facing financial hardship due to out-of-pocket health expenditure,Rural area,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,19.82,,,13.86,,,,,,,,,,,,,,,,,10.42,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ARG,UHC_FH40,_T,_T,IC_Q2,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Argentina,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 2,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.63,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GHA,UHC_FH40,_T,_T,_T,LARGE,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Ghana,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,1: Facing large (but non-impoverishing) out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,2.12,,,,,,,1.47,,,,,,,1.67,,,,,,,1.15,,,,0.68,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ZWE,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Zimbabwe,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,BLZ,UHC_FH40,RUR,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Belize,Population facing financial hardship due to out-of-pocket health expenditure,Rural area,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.84,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LCA,UHC_FH40,RUR,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,St. Lucia,Population facing financial hardship due to out-of-pocket health expenditure,Rural area,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CMR,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Cameroon,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,45.8,,,,,39.35,,,,,,36.08,,,,,,,36.66,,,,,,,,32.5,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,VUT,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Vanuatu,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.92,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,COG,UHC_FH40,_T,ACA,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,"Congo, Rep.",Population facing financial hardship due to out-of-pocket health expenditure,Total,"Adults, children, and adolescents",All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,51.14,,,,,,36.77,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NER,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Niger,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,56.71,,91.25,,,,85.13,,,,,,,79.46,,,55.92,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,WLF,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Wallis-et-Futuna (Fr.),Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,JAM,UHC_FH40,_T,_T,_T,FURTHER,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Jamaica,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,6.53,17.31,13.34,,13.71,15.85,14.26,,,,,,15.18,17.17,17.57,,,,20.36,21.13,18.7,,12.88,14.8,16.77,18.14,13.34,14.32,12.52,14.89,,18.48,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MMR,UHC_FH40,_T,_T,IC_Q5,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Myanmar,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 5 (richest),All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,3.84,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,UGA,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Uganda,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,48.25,,,46.44,,,46.96,,,,39.03,,,36.23,,,,33.08,,,31.37,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TUV,UHC_FH40,_T,_T,IC_Q3,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Tuvalu,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 3,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,KNA,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,St. Kitts and Nevis,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,10.63,,,,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CYP,UHC_FH40,_T,SO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Cyprus,Population facing financial hardship due to out-of-pocket health expenditure,Total,Older adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,20.59,,,,,,12.6,,,,,,,,14.28,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MUS,UHC_FH40,_T,AS,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Mauritius,Population facing financial hardship due to out-of-pocket health expenditure,Total,Adults and older people,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86,,,,,,11.73,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,COL,UHC_FH40,_T,MG,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Colombia,Population facing financial hardship due to out-of-pocket health expenditure,Total,Multigenerational,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,30.61,,29.89,,,,,,,,,,,20.62,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NER,UHC_FH40,_T,ACA,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Niger,Population facing financial hardship due to out-of-pocket health expenditure,Total,"Adults, children, and adolescents",All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,45.01,,,,,,54,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,BRB,UHC_FH40,_T,SO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Barbados,Population facing financial hardship due to out-of-pocket health expenditure,Total,Older adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,DEU,UHC_FH40,_T,SO,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Germany,Population facing financial hardship due to out-of-pocket health expenditure,Total,Older adults only,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NPL,UHC_FH40,_T,_T,IC_Q1,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Nepal,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 1 (poorest),All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,85.79,,,,,,,,,,88.12,88.66,89.6,85.95,,,,,,92.5,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,UMC,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Upper middle income,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,18.97,19.54,14.46,14.56,18.72,18.04,19.47,18.86,18.67,18.61,30.1,29.27,29.39,28.03,27.97,26.46,26.16,26.09,25.96,25.66,25,24.5,24.93,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,VUT,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Vanuatu,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,WSM,UHC_FH40,_T,_T,_T,LARGE,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Samoa,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,1: Facing large (but non-impoverishing) out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MYS,UHC_FH40,_T,_T,IC_Q4,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Malaysia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 4,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,
