REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Romania,Non-communicable diseases,Universal health coverage (UHC) service coverage index,43.0,44.0,45.0,46.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,51.0,52.0,52.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,58.0
West Bank and Gaza,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,70.0,72.0,73.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,74.0
Ireland,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0
Slovak Republic,Full index,Universal health coverage (UHC) service coverage index,75.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,78.0,78.0,79.0,80.0,81.0,81.0,82.0,82.0,82.0,80.0,81.0,81.0,80.0,80.0,78.0
Malaysia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Japan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,72.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,77.0,78.0,79.0,80.0,80.0,81.0,81.0
Eswatini,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,62.0,64.0,66.0,67.0,69.0,70.0,72.0,73.0,72.0,70.0,69.0,70.0,71.0,71.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0,70.0,71.0,71.0
Slovenia,Service capacity and access,Universal health coverage (UHC) service coverage index,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,87.0,83.0,85.0,88.0,91.0,90.0,92.0,94.0,95.0,94.0,92.0,93.0,93.0
Ecuador,Full index,Universal health coverage (UHC) service coverage index,66.0,66.0,66.0,66.0,67.0,68.0,68.0,69.0,70.0,71.0,71.0,74.0,72.0,73.0,77.0,79.0,79.0,80.0,79.0,79.0,78.0,78.0,78.0,78.0
Andorra,Full index,Universal health coverage (UHC) service coverage index,69.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,71.0,72.0,69.0,72.0,72.0,72.0,72.0,73.0,74.0,74.0,74.0,74.0,75.0
Namibia,Service capacity and access,Universal health coverage (UHC) service coverage index,73.0,73.0,73.0,73.0,73.0,72.0,71.0,71.0,70.0,69.0,67.0,66.0,65.0,63.0,64.0,66.0,70.0,69.0,59.0,64.0,65.0,67.0,86.0,87.0
Lebanon,Infectious diseases,Universal health coverage (UHC) service coverage index,77.0,77.0,77.0,78.0,80.0,81.0,82.0,83.0,85.0,86.0,87.0,89.0,90.0,91.0,93.0,94.0,95.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0
Moldova,Full index,Universal health coverage (UHC) service coverage index,67.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,71.0,72.0,71.0,70.0,70.0,70.0,70.0,71.0,71.0
Tanzania,Full index,Universal health coverage (UHC) service coverage index,20.0,21.0,22.0,23.0,25.0,27.0,29.0,31.0,32.0,36.0,39.0,42.0,43.0,42.0,38.0,42.0,43.0,44.0,42.0,44.0,45.0,46.0,47.0,49.0
"Bahamas, The","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,77.0,77.0,76.0,76.0,76.0,76.0,77.0,78.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,78.0,79.0,78.0,78.0,79.0,79.0,79.0
Qatar,Non-communicable diseases,Universal health coverage (UHC) service coverage index,67.0,68.0,69.0,69.0,69.0,69.0,70.0,71.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
Cook Islands,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,72.0,72.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,74.0,74.0,75.0
Central African Republic,Non-communicable diseases,Universal health coverage (UHC) service coverage index,49.0,49.0,50.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,55.0,55.0,56.0,57.0,57.0,57.0,57.0,57.0
Saudi Arabia,Infectious diseases,Universal health coverage (UHC) service coverage index,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
West Bank and Gaza,Infectious diseases,Universal health coverage (UHC) service coverage index,90.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0
Morocco,Full index,Universal health coverage (UHC) service coverage index,55.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0,65.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,65.0,65.0,65.0
"Yemen, Rep.","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,36.0,36.0,37.0,37.0,39.0,39.0,40.0,40.0,40.0,39.0,39.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0,40.0,41.0,40.0
Senegal,Non-communicable diseases,Universal health coverage (UHC) service coverage index,54.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,64.0,65.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0
Barbados,Full index,Universal health coverage (UHC) service coverage index,77.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,81.0,81.0,82.0,81.0,83.0,83.0,83.0,82.0,82.0,80.0,81.0,82.0,82.0
"Micronesia, Fed. Sts.","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,65.0,64.0,65.0,66.0,65.0,66.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,68.0,68.0,69.0,68.0,68.0,69.0
Belgium,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Israel,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0
United Arab Emirates,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0
Slovak Republic,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Kenya,Infectious diseases,Universal health coverage (UHC) service coverage index,7.0,6.0,7.0,6.0,9.0,16.0,26.0,30.0,32.0,32.0,29.0,36.0,42.0,41.0,38.0,40.0,42.0,47.0,46.0,40.0,34.0,43.0,41.0,37.0
Mexico,Full index,Universal health coverage (UHC) service coverage index,68.0,67.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,73.0,75.0,76.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0
Iraq,Full index,Universal health coverage (UHC) service coverage index,61.0,61.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,67.0,68.0,69.0,68.0,67.0,67.0,67.0,66.0,66.0,67.0,64.0,66.0,64.0
Kyrgyz Republic,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,70.0,70.0,70.0,70.0,69.0,69.0,69.0,66.0,64.0,61.0,58.0,55.0,51.0,59.0,67.0,67.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,67.0
Brunei Darussalam,Non-communicable diseases,Universal health coverage (UHC) service coverage index,64.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
Jamaica,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,60.0,65.0,69.0,72.0,75.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0
"Venezuela, RB",Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,54.0,56.0,58.0,59.0,61.0,62.0,63.0,64.0,65.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0
Finland,Non-communicable diseases,Universal health coverage (UHC) service coverage index,43.0,44.0,45.0,47.0,48.0,49.0,50.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,63.0,63.0,64.0,65.0
West Bank and Gaza,Non-communicable diseases,Universal health coverage (UHC) service coverage index,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,59.0,59.0,58.0,58.0,57.0,57.0,56.0,56.0,55.0,54.0,54.0
Eswatini,Full index,Universal health coverage (UHC) service coverage index,51.0,54.0,56.0,58.0,60.0,61.0,63.0,63.0,64.0,64.0,64.0,65.0,63.0,64.0,67.0,67.0,69.0,70.0,67.0,66.0,66.0,67.0,70.0,72.0
Cuba,Full index,Universal health coverage (UHC) service coverage index,74.0,75.0,76.0,76.0,77.0,78.0,79.0,79.0,80.0,81.0,81.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,84.0,85.0,86.0,86.0,86.0
Saudi Arabia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,63.0,63.0,64.0,64.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
Guatemala,Infectious diseases,Universal health coverage (UHC) service coverage index,61.0,61.0,61.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,71.0
Lao PDR,Non-communicable diseases,Universal health coverage (UHC) service coverage index,24.0,26.0,28.0,30.0,32.0,34.0,36.0,38.0,40.0,41.0,43.0,44.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,55.0,56.0
Ecuador,Service capacity and access,Universal health coverage (UHC) service coverage index,52.0,52.0,52.0,50.0,53.0,53.0,52.0,53.0,56.0,56.0,56.0,64.0,58.0,60.0,76.0,81.0,80.0,81.0,77.0,78.0,75.0,73.0,71.0,71.0
Japan,Full index,Universal health coverage (UHC) service coverage index,76.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,82.0,83.0,83.0,84.0,84.0,84.0,85.0,85.0,86.0
Solomon Islands,Full index,Universal health coverage (UHC) service coverage index,38.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,41.0,42.0,42.0,42.0,42.0,44.0,45.0,45.0,46.0,46.0,44.0,45.0,46.0,46.0,47.0,47.0
Türkiye,Service capacity and access,Universal health coverage (UHC) service coverage index,68.0,68.0,68.0,68.0,69.0,69.0,70.0,72.0,72.0,73.0,74.0,79.0,83.0,83.0,82.0,84.0,86.0,87.0,83.0,85.0,92.0,91.0,90.0,89.0
United States,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0
Cuba,Infectious diseases,Universal health coverage (UHC) service coverage index,81.0,81.0,82.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,88.0,88.0,89.0,89.0,90.0,91.0,91.0,92.0,93.0,93.0,94.0
Montenegro,Service capacity and access,Universal health coverage (UHC) service coverage index,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,78.0,82.0,82.0,81.0,81.0,82.0
Guinea-Bissau,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0,65.0,66.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,69.0
Canada,Non-communicable diseases,Universal health coverage (UHC) service coverage index,57.0,59.0,61.0,62.0,64.0,65.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,76.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0
Timor-Leste,Infectious diseases,Universal health coverage (UHC) service coverage index,19.0,19.0,19.0,21.0,24.0,26.0,29.0,31.0,34.0,36.0,39.0,41.0,43.0,46.0,48.0,51.0,53.0,56.0,58.0,61.0,63.0,65.0,68.0,71.0
Marshall Islands,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,61.0,62.0,66.0,65.0,65.0,67.0,67.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,69.0,68.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0
Angola,Infectious diseases,Universal health coverage (UHC) service coverage index,10.0,10.0,11.0,12.0,11.0,12.0,17.0,23.0,25.0,23.0,25.0,26.0,23.0,24.0,32.0,31.0,31.0,34.0,37.0,42.0,33.0,22.0,35.0,32.0
North Macedonia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,40.0,40.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0
Germany,Full index,Universal health coverage (UHC) service coverage index,79.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,84.0,85.0,85.0,86.0,86.0,86.0,86.0,87.0,86.0,86.0,86.0,86.0,87.0,87.0
South Africa,Non-communicable diseases,Universal health coverage (UHC) service coverage index,54.0,54.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0
Cabo Verde,Infectious diseases,Universal health coverage (UHC) service coverage index,36.0,38.0,41.0,43.0,45.0,48.0,51.0,53.0,55.0,57.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,75.0,77.0,79.0,81.0,83.0,83.0,83.0
Kiribati,Non-communicable diseases,Universal health coverage (UHC) service coverage index,4.0,7.0,9.0,11.0,13.0,15.0,16.0,18.0,20.0,21.0,22.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,35.0
St. Lucia,Full index,Universal health coverage (UHC) service coverage index,67.0,68.0,68.0,69.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,71.0,71.0,71.0,72.0,75.0,77.0,76.0,76.0,78.0,78.0,77.0,74.0,75.0
Cook Islands,Infectious diseases,Universal health coverage (UHC) service coverage index,93.0,94.0,94.0,94.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0
Israel,Non-communicable diseases,Universal health coverage (UHC) service coverage index,54.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0
Chile,Infectious diseases,Universal health coverage (UHC) service coverage index,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0
Italy,Service capacity and access,Universal health coverage (UHC) service coverage index,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,96.0,95.0,95.0,94.0,90.0,89.0,89.0
Rwanda,Infectious diseases,Universal health coverage (UHC) service coverage index,8.0,9.0,10.0,9.0,7.0,8.0,30.0,46.0,43.0,40.0,60.0,59.0,63.0,71.0,69.0,63.0,63.0,70.0,72.0,61.0,63.0,60.0,69.0,71.0
Gabon,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,40.0,41.0,43.0,44.0,45.0,47.0,48.0,52.0,53.0,54.0,55.0,57.0,58.0,58.0,57.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,56.0,57.0
Cyprus,Non-communicable diseases,Universal health coverage (UHC) service coverage index,43.0,43.0,44.0,45.0,45.0,46.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0
Pakistan,Infectious diseases,Universal health coverage (UHC) service coverage index,36.0,36.0,36.0,37.0,38.0,40.0,42.0,44.0,45.0,47.0,49.0,51.0,53.0,55.0,57.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,72.0
Singapore,Full index,Universal health coverage (UHC) service coverage index,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
Mauritania,Full index,Universal health coverage (UHC) service coverage index,23.0,23.0,23.0,24.0,24.0,24.0,26.0,26.0,27.0,30.0,33.0,31.0,29.0,29.0,29.0,31.0,32.0,39.0,41.0,38.0,38.0,39.0,35.0,40.0
Azerbaijan,Infectious diseases,Universal health coverage (UHC) service coverage index,68.0,69.0,70.0,71.0,72.0,74.0,75.0,76.0,78.0,79.0,80.0,82.0,83.0,85.0,86.0,87.0,89.0,90.0,92.0,93.0,94.0,96.0,97.0,98.0
"Congo, Dem. Rep.",Non-communicable diseases,Universal health coverage (UHC) service coverage index,55.0,56.0,56.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,67.0
Iceland,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Nigeria,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,33.0,33.0,33.0,34.0,36.0,37.0,39.0,41.0,44.0,45.0,43.0,41.0,39.0,38.0,36.0,34.0,34.0,32.0,43.0,44.0,43.0,44.0,44.0,44.0
Belarus,Full index,Universal health coverage (UHC) service coverage index,69.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0
Ireland,Service capacity and access,Universal health coverage (UHC) service coverage index,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,92.0,91.0,91.0,90.0,89.0,88.0,88.0,86.0,86.0,87.0,82.0,89.0
"Congo, Rep.","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,35.0,35.0,37.0,38.0,40.0,40.0,42.0,44.0,46.0,47.0,48.0,50.0,51.0,48.0,44.0,40.0,40.0,40.0,41.0,42.0,42.0,42.0,43.0,43.0
Nigeria,Infectious diseases,Universal health coverage (UHC) service coverage index,13.0,9.0,6.0,5.0,7.0,9.0,10.0,9.0,9.0,17.0,24.0,28.0,28.0,24.0,30.0,35.0,37.0,38.0,41.0,45.0,45.0,41.0,39.0,39.0
Israel,Full index,Universal health coverage (UHC) service coverage index,76.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,84.0,85.0,84.0,84.0,85.0,85.0,85.0
Nauru,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,55.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,61.0,61.0,62.0,62.0,61.0,62.0,63.0,63.0,64.0,63.0,63.0,63.0,64.0,64.0,64.0,65.0
Marshall Islands,Full index,Universal health coverage (UHC) service coverage index,65.0,66.0,67.0,66.0,66.0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,64.0,65.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0
São Tomé and Príncipe,Non-communicable diseases,Universal health coverage (UHC) service coverage index,64.0,64.0,65.0,65.0,65.0,66.0,66.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,65.0,65.0,65.0,65.0
Serbia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,53.0,53.0,54.0,54.0,54.0,55.0,56.0,57.0,58.0,58.0,59.0,59.0,59.0,59.0,58.0,59.0,59.0,60.0,60.0,61.0,62.0,63.0,64.0,65.0
Canada,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Djibouti,Service capacity and access,Universal health coverage (UHC) service coverage index,32.0,32.0,32.0,30.0,27.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,33.0,35.0,34.0,33.0,31.0,31.0,29.0,27.0,29.0,28.0,26.0
Denmark,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0
Monaco,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Thailand,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,88.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
Türkiye,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,57.0,58.0,59.0,59.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0
Trinidad and Tobago,Infectious diseases,Universal health coverage (UHC) service coverage index,91.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
Kenya,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0
Netherlands,Service capacity and access,Universal health coverage (UHC) service coverage index,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,95.0,97.0,97.0,98.0,98.0,98.0,96.0,97.0,97.0,94.0,94.0,94.0
Oman,Full index,Universal health coverage (UHC) service coverage index,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,76.0,75.0,74.0,74.0,75.0,75.0,74.0,75.0,74.0,73.0,73.0,73.0,73.0
Uzbekistan,Service capacity and access,Universal health coverage (UHC) service coverage index,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,94.0,90.0,86.0,81.0,76.0,83.0,82.0,87.0,89.0,85.0
Estonia,Service capacity and access,Universal health coverage (UHC) service coverage index,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,92.0,92.0,90.0,89.0,89.0,90.0,90.0,90.0,90.0,91.0,90.0
Moldova,Non-communicable diseases,Universal health coverage (UHC) service coverage index,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0
Spain,Non-communicable diseases,Universal health coverage (UHC) service coverage index,48.0,49.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0
Mauritania,Infectious diseases,Universal health coverage (UHC) service coverage index,8.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,11.0,17.0,23.0,19.0,13.0,12.0,13.0,17.0,18.0,38.0,47.0,32.0,31.0,29.0,17.0,35.0
Tuvalu,Full index,Universal health coverage (UHC) service coverage index,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,65.0,64.0,63.0,64.0,63.0,63.0,65.0,65.0,65.0
Netherlands,Non-communicable diseases,Universal health coverage (UHC) service coverage index,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,63.0
Mongolia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,74.0,74.0,74.0,73.0,72.0,71.0,73.0,73.0,75.0,76.0,78.0,77.0,75.0,74.0,72.0,73.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,76.0
Nepal,Full index,Universal health coverage (UHC) service coverage index,18.0,20.0,22.0,23.0,25.0,28.0,30.0,32.0,34.0,35.0,37.0,39.0,40.0,43.0,45.0,46.0,48.0,45.0,47.0,51.0,51.0,54.0,56.0,58.0
Costa Rica,Non-communicable diseases,Universal health coverage (UHC) service coverage index,68.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,74.0,75.0,76.0,77.0,77.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,82.0
Honduras,Non-communicable diseases,Universal health coverage (UHC) service coverage index,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0
Honduras,Service capacity and access,Universal health coverage (UHC) service coverage index,36.0,36.0,35.0,34.0,33.0,33.0,32.0,31.0,30.0,30.0,31.0,30.0,32.0,33.0,32.0,37.0,40.0,35.0,28.0,35.0,36.0,35.0,35.0,33.0
