REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,Infectious diseases,Universal health coverage (UHC) service coverage index,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,91.0,92.0,93.0,94.0,94.0,95.0,96.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0
Chile,Full index,Universal health coverage (UHC) service coverage index,64.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,73.0,75.0,74.0,76.0,78.0,79.0,80.0,82.0,81.0,82.0,82.0,82.0,83.0,84.0
Denmark,Full index,Universal health coverage (UHC) service coverage index,74.0,74.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,81.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0,85.0,85.0,85.0
Dominican Republic,Full index,Universal health coverage (UHC) service coverage index,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,71.0,71.0,72.0,72.0,73.0,74.0,75.0,75.0,74.0,73.0,72.0,73.0,77.0,78.0,78.0,73.0
Nicaragua,Non-communicable diseases,Universal health coverage (UHC) service coverage index,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0
Luxembourg,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,89.0,89.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
"Congo, Dem. Rep.","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,30.0,29.0,31.0,31.0,33.0,34.0,34.0,35.0,35.0,35.0,34.0,36.0,36.0,37.0,38.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0
Lebanon,Full index,Universal health coverage (UHC) service coverage index,64.0,63.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,68.0,68.0,68.0,68.0,69.0,67.0,69.0,68.0,68.0,68.0,67.0
Ireland,Infectious diseases,Universal health coverage (UHC) service coverage index,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Marshall Islands,Non-communicable diseases,Universal health coverage (UHC) service coverage index,50.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,46.0
Poland,Non-communicable diseases,Universal health coverage (UHC) service coverage index,42.0,44.0,45.0,46.0,48.0,49.0,50.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,63.0,64.0,65.0,66.0,66.0,67.0
Netherlands,Full index,Universal health coverage (UHC) service coverage index,77.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,83.0,83.0,84.0,84.0,85.0,84.0,85.0,85.0,85.0,85.0,85.0
Niger,Infectious diseases,Universal health coverage (UHC) service coverage index,5.0,4.0,4.0,4.0,4.0,7.0,16.0,16.0,13.0,15.0,18.0,19.0,16.0,14.0,19.0,26.0,27.0,29.0,31.0,31.0,34.0,34.0,36.0,36.0
Azerbaijan,Service capacity and access,Universal health coverage (UHC) service coverage index,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,92.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,94.0,93.0,87.0
