REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Maldives,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,21.43,,,,,,,,,,,,,,,13.32,,,,
Chad,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,46.86,,,,,,,,31.97,,,,,,,,,,,,
Italy,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,11.45,,,,,,,,,,,,,
Madagascar,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,32.91,,27.0,,,,,,,,,,,
Bolivia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,14.93,13.97,15.29,,,,,,,,,,,19.96,19.52,16.34,,,18.1,16.18,,13.41,,
Grenada,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,0.41,,,,,,,,,,,,,,,
Chad,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,1.78,,,,,,,,1.93,,,,,,,2.27,,,,,
Marshall Islands,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,12.57,,,,
Spain,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,15.79,18.36,18.28,18.24
Luxembourg,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,74.83,,76.73,73.15,70.78,75.74,79.61,77.49,,63.63,67.21,70.39,76.03,65.9
Andorra,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,0.27,3.17,0.93,0.22,0.2
Morocco,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,21.94,,,,,,35.6,,,,,,,27.13,,,,,,,,,,
Mexico,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,19.14,,,,12.94,,11.05,,10.92,,12.84,,10.99,,11.77,,12.99,,13.64,
Burundi,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,77.45,,,,,,,56.64,,,,,,,,,,
Iraq,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,1.28,,,,,,1.23,,,,,3.53,,,,,,
Netherlands,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,13.22,,,,,,,,
Mali,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,45.18,,,,56.63,62.16,61.01,57.32,57.1,,54.81,,49.07,48.48,
Angola,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,24.02,,,,,
Russian Federation,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,21.71,14.18,14.17,21.62,20.62,,,,,,4.4,3.8,,4.3,3.0,,,,,,,,,
Malawi,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,76.2,,,,,,53.95,,,67.54,,,62.28,,,64.97,,,,
Czechia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,3.87,3.72,4.06,3.83,3.97,3.99,5.36,4.06,4.53,4.93,5.4,6.85,5.4,5.63,4.86,6.22,,,5.06,6.15,,8.24,7.87,7.24
Sweden,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
