REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lesotho,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,28.89,,,,,,
Armenia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,11.75,7.52,7.38,10.9,6.75,6.44,5.51,4.36,6.05,11.05,7.54,8.15,11.67,10.73,14.66,11.62,14.02,10.74,15.84,14.79,,,
Slovak Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,12.87,10.32,10.17,10.42,10.48,9.3,9.53,8.45,,,11.01,,,,,9.3,9.3,9.99,
Uzbekistan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,27.09,,23.2,22.68,,,,,,,,,,,,,,,,,,,,
Hungary,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,4.05,3.62,3.95,5.41,4.8,4.93,4.61,4.83,,,,,,,,,,,,,,,,
Mongolia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,0.58,,,,,,,0.81,0.58,0.63,0.56,,0.95,,1.29,,1.83,,2.95,3.42,3.16,3.22
Zimbabwe,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,3.68,,,,,,
Djibouti,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,4.52,,,,,6.33,,,,,,
Malta,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,12.9,,,,,,,10.82,,,,,,,,
Kenya,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.88,,,,,,,,,,1.61,,,,,,,,
Panama,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,14.2,,,,,,,,,,,,,,,,,,,,
Marshall Islands,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,0.0,,,,
Timor-Leste,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,11.11,,,,,,,,,,,,,,,,
Croatia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,9.92,,,,10.23,10.71,7.73,,,,,,,,,,,,,
South Africa,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,47.2,,,27.53,,,,,,31.05,,,,,,,,,
Colombia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,4.27,,3.71,,,,,,,,,,,5.9,,
South Sudan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,19.66,,,,,,,38.86,,,,,,,
Italy,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,35.16,,,,,,,,,37.75,,,,,,,,,,,,,
Pakistan,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,96.33,,,98.2,,,99.88,,,99.27,99.89,,99.39,,99.82,,,99.22,,,,,
Botswana,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,2.21,,,,,,2.74,,,,,,,,
Latvia,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,0.5,0.5,0.47,0.97,0.47,1.52,0.94,2.58,4.53,3.81,3.35,3.17,3.69,3.5,4.47,,,2.21,,,,
Switzerland,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,6.92,7.54,7.78,8.01,8.46,7.2,8.02,8.46,7.43,7.11,8.1,7.28,,,,,,
Cameroon,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,4.32,,,,,,1.0,,,,,,,2.36,,,,,,,,3.72,
Norway,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,12.28,,,,,,,,,,,,,,
Dominican Republic,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,19.04,,,,,,,,,,,10.61,,,,,
Norway,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,4.06,,,,6.38,5.5,5.77,,,,,,,,,,,,,
Georgia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,17.45,15.22,11.15,10.44,11.41,13.64,16.2,15.93,,,,20.66,18.03,20.82,22.0,18.04,18.29,19.45,16.04,13.36,14.23,13.25,13.15,11.04
Luxembourg,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,4.61,,,,,,,,,5.14,,,6.09,4.4
Pakistan,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,46.02,,,24.8,,,13.35,,,6.77,7.51,,7.93,,6.04,,,6.05,,,,,
Guinea,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,37.45,,,,,43.06,,,,,28.29,,,,,,37.03,,,,,
Lithuania,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,10.47,10.89,10.71,9.01,8.07,,,,7.67,,,,,,,,7.67,,,,,4.12,,
Uganda,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,44.19,,,43.01,,,,35.58,,,32.73,,,,29.84,,,28.68,,,,
Tanzania,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,80.09,,,,,,,76.74,,,,41.23,,,,,,,61.99,,70.34,,,
Cook Islands,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Brazil,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,66.35,,,,,,,,,75.86,,,,,,
Chile,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,2.54,,,,,3.5,,,,,3.94,,,,,5.28,,
Togo,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,33.02,,,,,37.88,,,,58.72,,,24.59,,,23.19,,
Trinidad and Tobago,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,6.4,,,,,,,,,6.95,,,,,,,,,
Gabon,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,2.68,,,,,,,,,,,,2.22,,,,,,
Marshall Islands,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,0.47,,,,
Benin,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,37.05,,,,,,,,,,,,27.51,,,20.23,,,,,
Timor-Leste,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,7.93,,,,,,,,,,,,,,,,
Senegal,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,6.52,,,,,,,,,,,,,,,,,,
North Macedonia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,25.49,,12.54,11.32,12.45,10.87,9.68,,,8.11,8.27,6.76,10.56,8.71,8.56,9.66,8.7,8.07,5.59,8.25,7.56,8.3,8.39,7.91
Bolivia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,27.78,28.85,29.54,,,,,,,,,,,63.74,64.02,56.27,,,65.61,61.56,,49.99,,
Hungary,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,7.2,6.33,6.71,13.59,9.51,10.89,9.47,9.68,,,,,,,,,,,,,,,,
Georgia,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,4.41,5.33,5.08,4.38,4.64,5.21,6.64,6.45,7.52,9.21,8.87,8.47,7.66,8.17,9.0,10.07,10.98,10.52,10.01,10.67,10.95,10.6,11.39,10.47
Mauritius,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,6.46,,,,,,8.64,,,,,6.39,,,,,,7.87
Czechia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,7.5,7.54,7.24,6.72,7.16,8.43,9.8,8.01,8.77,9.44,9.78,11.39,10.61,9.4,8.3,10.62,,,,,,13.11,14.18,13.21
Belgium,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,2.04,,,,,,,,,,,,,,
Mozambique,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,48.15,,,,,,27.29,,,,,,11.63,,,,,11.52,,,,
Portugal,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,20.11,,,,,22.89,,,,,23.89,,,,,22.3,,,,,,,21.5,
Mozambique,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,36.38,,,,,,40.14,,,,,29.84,,,,
Belarus,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,0.06,0.58,0.1,0.0,0.04,0.15,0.1,0.32,0.0,0.41,0.29,0.4,0.34,0.44,0.75,0.6,0.52,0.81,0.98,,,
Latvia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,13.94,13.37,15.04,13.35,12.14,13.76,13.47,13.46,12.09,15.54,13.51,14.98,16.59,17.27,17.52,,,18.59,,,,
Guinea,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,32.36,,,,,38.09,,,,,22.22,,,,,,30.49,,,,,
São Tomé and Príncipe,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.8,,,,,,,1.41,,,,,,
Moldova,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,5.48,6.47,7.14,7.0,5.43,6.12,11.91,9.34,8.74,8.55,8.15,7.27,7.02,7.19,6.24,6.31,5.97,5.48,5.2,4.81,4.08,3.94,4.13,4.04
West Bank and Gaza,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,13.38,13.65,13.03,15.8,,11.79,12.58,12.42,,,,,17.3,,,,,,,18.75
Côte d’Ivoire,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,68.82,,,,,,54.14,,,,,,,32.41,,,66.92,,,71.39,,
Mali,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,42.59,,,61.82,,98.48,,97.12,93.5,93.58,93.74,95.5,95.95,97.53,,97.01,96.36,
Federal Republic of Somalia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,22.92,33.46,,,,,,
Finland,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,3.75,,,,,,3.83,,,,3.45,,,,,,,
Timor-Leste,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,13.41,,,,,,,13.07,,,,,,,,,
Burkina Faso,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,89.05,,,,,76.52,,,,32.23,,,20.56,,
Tuvalu,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.46,,,,,,,,
"Gambia, The",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,58.02,,,,,,,43.44,,,,,35.24,,,,,,,,
Cabo Verde,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,0.66,,,,,,0.0,,,,,,,,0.39,,,,,,,,
Hungary,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,1.68,1.12,1.53,2.04,1.43,1.29,0.95,1.57,,,,,,,,,,,,,,,,
Albania,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,23.81,,,17.72,,,15.46,,,,15.58,,,,,,,,,,,
Chile,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,2.12,,,,,1.76,,,,,2.27,,,,,3.37,,
El Salvador,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,0.67,,3.55,2.5,2.31,2.61,,,,
Uzbekistan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,25.69,,22.71,20.15,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,12.22,,,,,15.21,,16.48,,,,
Morocco,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,3.36,,,,,,,,,,,,,13.16,,,,,,,,,,
Costa Rica,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.32,,,,,,,,1.32,,,,,,1.21,,,,,
Burkina Faso,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,33.88,,,,,21.38,,,,9.6,,,9.8,,
Mali,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,4.49,,,3.69,,1.36,,1.12,2.37,2.11,1.17,0.31,1.12,0.48,,0.36,0.0,
United Kingdom,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,0.92,,,,,0.84,,,0.75,0.97,0.86,0.84,0.57,1.16,0.85,0.98,0.88,0.99,0.97,1.3,1.08,1.24,,
Kazakhstan,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,1.68,1.93,1.71,2.3,1.25,2.3,2.16,2.16,2.04,2.54,1.82,2.42,2.18,2.38,2.16,2.63,,2.72,,,,,
Hungary,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,39.31,50.32,51.18,62.72,63.61,62.05,59.55,70.15,,,,,,,,,,,,,,,,
Bulgaria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,15.91,,,,16.18,,,,,17.74,,,,,17.74,22.39,21.4,20.87,22.7,,19.91,19.29,18.75
Tonga,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,7.71,,,,,,7.03,,
Madagascar,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,0.42,,,,,0.49,,0.69,,,,,,,,,0.32,,
Niger,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,55.87,,93.12,,,,78.85,,,,,,,94.86,,,61.56,,
Haiti,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,23.1,21.14,,,,,,,,,,
Finland,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,11.01,,,,,,11.87,,,,9.92,,,,,,,
Cabo Verde,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,1.23,,,,,,0.94,,,,,,,,2.03,,,,,,,,
Ghana,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,59.56,,,,,,,2.0,,,,2.02,,,,,,,
South Sudan,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,1.77,,,,,,,1.87,,,,,,,
Liberia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,33.77,,,,,,,31.16,,33.39,,,,,,,
Kazakhstan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,4.94,5.63,3.95,6.8,,8.31,7.56,8.4,2.8,,,2.74,1.8,1.8,,,,,,,,,
Portugal,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,11.73,,,,,,,,,,16.16,,,,,15.3,,,,,,,17.79,
Thailand,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,22.51,22.32,,,,,,,21.16,,,,,,
Montenegro,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,13.26,,8.32,,11.41,8.67,10.54,13.09,11.66,9.75,9.04,,,,,,,,
Costa Rica,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,15.96,,,,,
Mozambique,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,35.37,,,,,,41.2,,,,,,58.5,,,,,46.82,,,,
Lithuania,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,13.35,14.19,13.68,14.06,13.49,,,,13.12,,,,,,,,20.37,,,,,12.57,,
Djibouti,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,19.73,,,,,,,,,,2.79,,,,,5.36,,,,,,
Burkina Faso,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,1.02,,,,,1.96,,,,2.48,,,3.25,,
Russian Federation,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,1.79,1.64,2.13,1.19,1.48,,,,,,2.88,2.88,,3.43,3.19,,,,,,,,,
Samoa,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,0.0,,,,,
Denmark,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.45,,,,,,,,,,,,,
Burundi,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,80.07,,,,,,,37.78,,,,,,,,,,
Rwanda,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,16.04,,,,,0.81,,,,,,,,0.42,,,0.2,,,,,,,
"Korea, Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,11.97,6.75,9.65,,
Nauru,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,0.99,,,,,,,,,,,
Gabon,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,0.0,,,,,,,,,,,,0.88,,,,,,
Georgia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,40.0,39.12,28.48,25.65,25.33,28.17,32.31,36.97,,,,41.31,42.26,38.34,40.81,44.4,45.42,41.75,42.05,42.14,41.55,41.45,42.76,40.12
Tanzania,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,21.38,,,,,,,15.25,,,,2.21,,,,,,,3.98,,7.35,,,
"Congo, Dem. Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,16.97,,,,,,,,,,,
Italy,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,5.15,,,,,,,,,,,,,
Colombia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,23.15,,21.8,,,,,,,,,,,12.51,,
Bolivia,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,5.02,2.26,4.07,,,,,,,,,,,2.75,1.51,2.13,,,1.4,1.24,,1.54,,
Belarus,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,3.43,3.08,3.02,2.14,2.79,2.19,2.41,2.58,2.52,1.94,2.96,3.24,2.71,3.47,4.03,3.76,4.03,3.56,4.37,,,
Guatemala,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,7.67,,,,,,,,,,,8.79,,,15.08,,,,,,,,,12.76
Mozambique,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,37.77,,,,,,35.54,,,,,,47.91,,,,,26.37,,,,
Montenegro,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,50.5,39.11,51.01,54.4,40.54,40.59,48.55,43.95,52.01,60.88,48.31,,,,,,,,
Djibouti,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,3.81,,,,,7.59,,,,,,
Cabo Verde,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,25.04,,,,,,42.67,,,,,,,,70.8,,,,,,,,
Ecuador,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,83.1,,69.77,,,,,,,,,,
Ecuador,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,6.49,,,,,,,,,,
Mexico,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,7.52,,7.46,,7.1,,9.72,,8.93,,7.95,,8.68,,8.85,
Spain,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,5.48,5.8,4.75,6.03
El Salvador,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,0.9,,,3.67,2.6,3.07,,,,
West Bank and Gaza,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,9.09,,,,,,,,,,,,,,10.6
Latvia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,13.93,16.54,17.18,13.62,12.38,19.85,17.89,18.55,14.09,16.27,15.56,15.94,20.23,20.32,19.34,,,16.3,,,,
Bhutan,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,3.26,,,,1.13,,,,,1.78,,,,,0.75,,,,,0.39,
Kiribati,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.07,,,,,,,,,,,,,0.0,,,,
Sierra Leone,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,39.75,,,,,,,,31.5,,,,,,,11.17,,,,,
Philippines,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,81.47,,,92.47,,,93.65,,,96.29,,,94.89,,,95.39,,,95.85,,,99.52,,97.14
Romania,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,8.46,6.88,6.95,7.02,8.08,7.37,7.19,7.25,6.11,6.13,8.19,7.23,7.67,8.21,,,9.75,,,,,,,
Nigeria,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,55.97,,,,,,63.19,76.07,,85.11,,,90.85,,,83.17,,,,89.62,
"Korea, Rep.",Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,6.8,4.11,4.45,,
Lithuania,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,7.0,7.01,8.22,5.28,5.06,,,,5.03,,,,,,,,6.87,,,,,6.58,,
Nicaragua,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,44.13,,,,,,,,41.58,,,,,46.36,,,,,,,,,
Tajikistan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,20.65,,32.07,,,,,,,,,,,,,,
Tanzania,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,45.87,,,,,,,28.09,,,,9.07,,,,,,,9.57,,21.92,,,
Federal Republic of Somalia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,20.83,4.92,,,,,,
Bolivia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,1.29,1.56,1.79,,,,,,,,,,,1.23,1.02,0.96,,,1.07,1.1,,0.76,,
Montenegro,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.97,1.32,2.58,0.12,1.29,1.17,1.32,1.37,2.69,1.79,1.21,,,,,,,,
Mauritius,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,2.32,,,,,,3.54,,,,,3.11,,,,,,4.75
Tonga,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,
Kiribati,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,1.4,,,,,,,,,,,,,1.41,,,,
Tajikistan,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,1.49,,3.79,,,,1.85,2.6,,2.85,1.91,3.36,2.5,,,,
Kenya,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,3.98,,,,,,,,,,3.38,,,,,,,,
"Congo, Rep.",All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,92.82,,,,,,81.7,,,,,,,,,,,,
Namibia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,96.36,,,,,,60.78,,,,,,,,
Tunisia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,38.97,,,,,42.04,,,,,15.55,,,,,11.66,,,,,,19.03,,
Italy,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,24.62,,,,,,,,,,,,,
Cyprus,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,30.58,,,,,,,,
Guatemala,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,25.51,,,,,,,,,,,14.34,,,,,,,,,,,,22.0
Lesotho,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,10.43,,,,,,
Switzerland,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,4.13,3.76,2.62,2.77,2.44,3.14,3.23,2.54,3.48,2.97,3.26,3.03,,,,,,
Romania,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,13.52,12.95,13.25,13.26,12.51,15.17,15.31,14.17,10.68,13.98,16.12,16.07,15.94,16.53,,,19.86,,,,,,,
Thailand,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,1.11,,,,1.01,,,0.93,0.8,,,,,,,0.7,,,,,,
Philippines,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,33.47,,,35.61,,,37.42,,,36.15,,,36.85,,,35.21,,,31.6,,,33.85,,30.99
Tanzania,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,75.43,,,,,,,76.55,,,,37.7,,,,,,,56.55,,60.16,,,
Slovenia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,0.45,0.21,0.17,0.1,0.1,0.16,0.27,0.17,0.19,0.29,0.19,,0.16,,,0.19,,,0.54,,,,0.42,
Lesotho,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,0.19,,,,,,
Peru,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,53.63,,,,,,61.22,63.52,65.86,67.55,71.2,77.42,74.16,75.06,75.07,73.2,72.81,71.35,71.29,73.09,75.54,93.12,90.9,
Morocco,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,17.96,,,,,,26.73,,,,,,,20.54,,,,,,,,,,
Netherlands,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.42,,,,,,,,
Guatemala,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,22.4,,,,,,,,,,,10.22,,,17.67,,,,,,,,,16.98
